"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TestCase 19 - cleanup (Return to original state)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 06 - Очистка после теста. (Cleanup after test)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 18 - Добавить, изменить и удалить несколько элементов одновременно в спецификацию и проверка сохранения (Add, Modify, and Delete in One Session)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","1","TestCase 02 - Очистка после теста. (Cleanup after test)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 17 - cleanup delete all added details (cleanup delete all added details)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 16 - Добавьте больше материалов, чем ограниченное количество в спецификацию и проверка сохранения (Exceed Allowed Materials)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","14395","TestCase 01 - Редактирование изделия - добавление потомка (СБ) (Editing a product - adding a descendant (СБ))","suite01","Wed Aug 20 09:10:20 UTC 2025","failed","Wed Aug 20 09:10:35 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 11 - Delete a Material Before Saving","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 14 - Сохранить без добавления каких-либо элементов в спецификацию и проверка сохранения (Save Without Adding Material)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 15 - Перезагрузить без сохранения после добавления деталей в спецификацию и проверка (Reload without saving)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 10 - cleanup (Return to original state)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 04 - Очистка после теста. (Cleanup after test)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 08 - cleanup (Return to original state)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 05 - Adding All Material Types at Once","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 07 - Редактирование изделия - Сравниваем комплектацию (Edit an Existing Детайл - Comparing the complete set)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 12 - Удалить сохраненный материал (Remove Saved Material)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","1","TestCase 09- Редактирование изделия - Сравниваем комплектацию (Edit an Existing Material ПД - Comparing the complete set)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
"","0","TestCase 03 - Редактирование изделия - Добавьте каждый тип материала по отдельности. (Add Each Material Type Individually)","suite01","Wed Aug 20 09:10:37 UTC 2025","skipped","Wed Aug 20 09:10:37 UTC 2025","Test Suite: suite01 - This is a group of full page tests p02 - P04","main.spec.ts","",""
